protocol,function,algorithm,run,best,n_fes,max_iter,seconds
equal_iterations,F29,TSA,9,654869037.7884923,45189,500,71.4834467000037
equal_iterations,F29,SOS,0,12634.3857737998,60030,500,64.51227680000011
equal_iterations,F29,SOS,1,11607.21819211662,60030,500,72.29027240000141
equal_iterations,F29,SOS,2,9699.707361237932,60030,500,64.84375870000804
equal_iterations,F29,SOS,3,36397.28307645144,60030,500,75.94717400000081
equal_iterations,F29,SOS,4,7655.988811774676,60030,500,64.74772310000844
equal_iterations,F29,SOS,5,14721.217927750597,60030,500,64.41041520000726
equal_iterations,F29,SOS,6,8802.776867114128,60030,500,64.65946090000216
equal_iterations,F29,SOS,7,18939.737356705184,60030,500,75.80066259999876
equal_iterations,F29,SOS,8,11436.863098339883,60030,500,64.72077050000371
equal_iterations,F29,SOS,9,9899.284327570393,60030,500,73.44745659999899
equal_iterations,F29,ES,0,16959.11502048276,105030,500,113.74547699998948
equal_iterations,F29,ES,1,49902.62041638438,105030,500,109.29068189999089
equal_iterations,F29,ES,2,22378.889554622423,105030,500,105.41858520000824
equal_iterations,F29,ES,3,240577.80338128732,105030,500,112.20768849999877
equal_iterations,F29,ES,4,47794.35372674171,105030,500,107.03283789999841
equal_iterations,F29,ES,5,24807.24245177211,105030,500,111.78513279999606
equal_iterations,F29,ES,6,36053.74299447608,105030,500,107.0453925000038
equal_iterations,F29,ES,7,25466.805029048635,105030,500,111.00140530000499
equal_iterations,F29,ES,8,34941.410740168176,105030,500,110.51728669999284
equal_iterations,F29,ES,9,47660.63305844017,105030,500,112.29300240000885
equal_iterations,F29,FA,0,1745602848820055.5,217546,500,171.79552690000855
equal_iterations,F29,FA,1,1017584834966259.8,217544,500,176.48535060000722
equal_iterations,F29,FA,2,6408955804378750.0,217526,500,158.94326689999434
equal_iterations,F29,FA,3,156414713968454.72,217526,500,159.77804989999277
equal_iterations,F29,FA,4,1116431796046112.1,217551,500,159.12836349999998
equal_iterations,F29,FA,5,3762863613264543.0,217555,500,154.19495459999598
equal_iterations,F29,FA,6,290756127539313.2,217551,500,152.6386504999973
equal_iterations,F29,FA,7,8877484359862.633,217529,500,150.9513830999931
equal_iterations,F29,FA,8,406805058591228.6,217529,500,150.13771549999365
equal_iterations,F29,FA,9,2067985074579745.8,217533,500,147.6025726999942
equal_iterations,F30,HS,0,7233347907.816384,530,500,0.4489515000022948
equal_iterations,F30,HS,1,38721487735.17258,530,500,0.42220989998895675
equal_iterations,F30,HS,2,6970486012.161902,530,500,0.33773959999962244
equal_iterations,F30,HS,3,14166729787.852598,530,500,0.3560732000041753
equal_iterations,F30,HS,4,4380177283.004448,530,500,0.36002999999618623
equal_iterations,F30,HS,5,37068048959.01207,530,500,0.4565842000010889
equal_iterations,F30,HS,6,6366278391.381814,530,500,0.35295400000177324
equal_iterations,F30,HS,7,11163510520.079891,530,500,0.4963064000039594
equal_iterations,F30,HS,8,11536761548.814856,530,500,0.4964218999957666
equal_iterations,F30,HS,9,28898734279.008884,530,500,0.385677600002964
equal_iterations,F30,LSHADE,0,17320.986752216355,8569,500,7.821268199986662
equal_iterations,F30,LSHADE,1,27538.02539153448,8569,500,8.106640599988168
equal_iterations,F30,LSHADE,2,17238.404136906167,8569,500,8.09547410000232
equal_iterations,F30,LSHADE,3,26366.823678972032,8569,500,5.879896099999314
equal_iterations,F30,LSHADE,4,53488.55717430116,8569,500,5.829965600001742
equal_iterations,F30,LSHADE,5,18942.582627484673,8569,500,6.0434387999994215
equal_iterations,F30,LSHADE,6,26162.108351720035,8569,500,8.132026199993561
equal_iterations,F30,LSHADE,7,79782.29439511821,8569,500,8.077694099993096
equal_iterations,F30,LSHADE,8,17326.21234221568,8569,500,8.090186400004313
equal_iterations,F30,LSHADE,9,36553.37104751308,8569,500,8.090245999992476
equal_iterations,F30,PSO,0,924052844.7517625,15030,500,8.27634240000043
equal_iterations,F30,PSO,1,958657087176.38,15030,500,8.22540989999834
equal_iterations,F30,PSO,2,17513049506.639294,15030,500,8.283343899995089
equal_iterations,F30,PSO,3,15585978623.536184,15030,500,8.266290499988827
equal_iterations,F30,PSO,4,13028215260.263842,15030,500,11.533084900001995
equal_iterations,F30,PSO,5,1157680677.4094615,15030,500,10.869783000001917
equal_iterations,F30,PSO,6,41705222.241570316,15030,500,10.891146900001331
equal_iterations,F30,PSO,7,34798180581.7714,15030,500,8.231478999994579
equal_iterations,F30,PSO,8,6560293257.131974,15030,500,10.818460299997241
equal_iterations,F30,PSO,9,5624981887.968894,15030,500,8.305412200003047
equal_iterations,F30,GWO,0,436476371.4159682,15030,500,11.282833100005519
equal_iterations,F30,GWO,1,1682398285.89188,15030,500,9.04449190000014
equal_iterations,F30,GWO,2,891306625.3470446,15030,500,8.995115900004748
equal_iterations,F30,GWO,3,587122964.9195975,15030,500,9.013925599996583
equal_iterations,F30,GWO,4,638818865.904525,15030,500,9.011452800012194
